Date,Game Title,Category,Units Sold,Price (£),Total Revenue (£)
01/01/2024,Rocket League,Sports,11,46.12,507.32
02/01/2024,Minecraft,Sandbox,40,53.5,2140.0
03/01/2024,Apex Legends,Shooter,28,30.27,847.56
04/01/2024,Overwatch 3,Shooter,18,69.1,1243.8
05/01/2024,Minecraft,Sandbox,8,32.21,257.68
06/01/2024,Minecraft,Sandbox,28,24.25,679.0
07/01/2024,Fortnite,Battle Royale,28,24.66,690.48
08/01/2024,GTA VI,Adventure,4,46.67,186.68
09/01/2024,GTA VI,Adventure,31,64.36,1995.16
10/01/2024,F1 26,Racing,39,52.05,2029.95
11/01/2024,Overwatch 3,Shooter,30,44.83,1344.9
12/01/2024,F1 26,Racing,28,44.71,1251.88
13/01/2024,Overwatch 3,Shooter,33,34.43,1136.19
14/01/2024,Fortnite,Battle Royale,35,26.29,920.15
15/01/2024,GTA VI,Adventure,18,26.32,473.76
16/01/2024,Elden Ring,RPG,16,47.66,762.56
17/01/2024,GTA VI,Adventure,25,62.29,1557.25
18/01/2024,Minecraft,Sandbox,36,39.84,1434.24
19/01/2024,COD MW4,Shooter,44,33.86,1489.84
20/01/2024,Rocket League,Sports,28,26.09,730.52
21/01/2024,GTA VI,Adventure,1,42.83,42.83
22/01/2024,GTA VI,Adventure,22,20.08,441.76
23/01/2024,Rocket League,Sports,37,37.52,1388.24
24/01/2024,Rocket League,Sports,34,61.61,2094.74
25/01/2024,Apex Legends,Shooter,35,41.16,1440.6
26/01/2024,F1 26,Racing,8,28.5,228.0
27/01/2024,F1 26,Racing,15,60.1,901.5
28/01/2024,Overwatch 3,Shooter,29,31.58,915.82
29/01/2024,Overwatch 3,Shooter,36,54.6,1965.6
30/01/2024,F1 26,Racing,50,52.27,2613.5
31/01/2024,FIFA 26,Sports,11,55.09,605.99
01/02/2024,GTA VI,Adventure,32,63.57,2034.24
02/02/2024,Apex Legends,Shooter,23,42.54,978.42
03/02/2024,Elden Ring,RPG,25,66.13,1653.25
04/02/2024,Elden Ring,RPG,24,37.28,894.72
05/02/2024,Minecraft,Sandbox,29,28.42,824.18
06/02/2024,Fortnite,Battle Royale,32,42.49,1359.68
07/02/2024,Fortnite,Battle Royale,3,32.63,97.89
08/02/2024,Minecraft,Sandbox,3,25.77,77.31
09/02/2024,F1 26,Racing,26,33.5,871.0
10/02/2024,Fortnite,Battle Royale,16,63.15,1010.4
11/02/2024,FIFA 26,Sports,40,42.64,1705.6
12/02/2024,Elden Ring,RPG,45,49.72,2237.4
13/02/2024,Minecraft,Sandbox,40,62.92,2516.8
14/02/2024,GTA VI,Adventure,16,32.07,513.12
15/02/2024,FIFA 26,Sports,44,24.4,1073.6
16/02/2024,GTA VI,Adventure,29,54.47,1579.63
17/02/2024,Overwatch 3,Shooter,5,40.92,204.6
18/02/2024,FIFA 26,Sports,24,63.86,1532.64
19/02/2024,Rocket League,Sports,45,61.1,2749.5
20/02/2024,Fortnite,Battle Royale,24,49.89,1197.36
21/02/2024,FIFA 26,Sports,5,65.0,325.0
22/02/2024,COD MW4,Shooter,10,47.03,470.3
23/02/2024,Fortnite,Battle Royale,31,20.92,648.52
24/02/2024,Elden Ring,RPG,39,53.3,2078.7
25/02/2024,FIFA 26,Sports,14,43.9,614.6
26/02/2024,COD MW4,Shooter,11,61.12,672.32
27/02/2024,GTA VI,Adventure,14,22.72,318.08
28/02/2024,FIFA 26,Sports,16,57.64,922.24
29/02/2024,FIFA 26,Sports,21,25.05,526.05
01/03/2024,Fortnite,Battle Royale,39,32.04,1249.56
02/03/2024,Elden Ring,RPG,31,23.95,742.45
03/03/2024,FIFA 26,Sports,33,21.68,715.44
04/03/2024,Minecraft,Sandbox,15,27.99,419.85
05/03/2024,FIFA 26,Sports,42,20.4,856.8
06/03/2024,F1 26,Racing,37,66.07,2444.59
07/03/2024,Minecraft,Sandbox,34,28.96,984.64
08/03/2024,Rocket League,Sports,23,54.58,1255.34
09/03/2024,Elden Ring,RPG,22,66.26,1457.72
10/03/2024,GTA VI,Adventure,9,59.11,531.99
11/03/2024,Rocket League,Sports,37,27.31,1010.47
12/03/2024,Fortnite,Battle Royale,44,47.14,2074.16
13/03/2024,Fortnite,Battle Royale,29,65.57,1901.53
14/03/2024,Apex Legends,Shooter,30,21.52,645.6
